name,year,id,tourney_level,surface,outdoor,city,venue,link
Acapulco,2022,2022-Acapulco,ATP 500,Hard,Outdoor,"Acapulco, Mexico",,
Adelaide 1,2022,2022-Adelaide 1,ATP 250,Hard,Outdoor,"Adelaide, Australia",,
Adelaide 2,2022,2022-Adelaide 2,ATP 250,Hard,Outdoor,"Adelaide, Australia",,
Aguascalientes CH,2022,2022-Aguascalientes CH,ATP Challenger,Clay,Outdoor,"Aguascalientes, Mexico",,
Aix-En-Provence CH,2022,2022-Aix-En-Provence CH,ATP Challenger,Clay,Outdoor,"Aix-En-Provence, France",,
Amersfoort CH,2022,2022-Amersfoort CH,ATP Challenger,Clay,Outdoor,"Amersfoort, Netherlands",,
Atp Cup,2022,2022-Atp Cup,ATP Cup,Hard,Outdoor,"Sydney, Australia",,
Australian Open,2022,2022-Australian Open,Grand Slam,Hard,Outdoor,"Melbourne, Australia",,
Barcelona,2022,2022-Barcelona,ATP 500,Clay,Outdoor,"Barcelona, Spain",,
Barletta CH,2022,2022-Barletta CH,ATP Challenger,Clay,Outdoor,"Barletta, Italy",,
Bastad,2022,2022-Bastad,ATP 250,Clay,Outdoor,"Bastad, Sweden",,
Belgrade,2022,2022-Belgrade,ATP 250,Clay,Outdoor,"Belgrade, Serbia",,
Bendigo CH,2022,2022-Bendigo CH,ATP Challenger,Hard,Outdoor,"Bendigo, Australia",,
Bengaluru 1 CH,2022,2022-Bengaluru 1 CH,ATP Challenger,Hard,Outdoor,"Bangalore, India",,
Bengaluru 2 CH,2022,2022-Bengaluru 2 CH,ATP Challenger,Hard,Outdoor,"Bangalore, India",,
Biel CH,2022,2022-Biel CH,ATP Challenger,Hard,Indoor,"Biel, Switzerland",,
Blois CH,2022,2022-Blois CH,ATP Challenger,Clay,Outdoor,"Blois, France",,
Blumenau CH,2022,2022-Blumenau CH,ATP Challenger,Clay,Outdoor,"Blumenau, Brazil",,
Bogota CH,2022,2022-Bogota CH,ATP Challenger,Clay,Outdoor,"Bogota, Colombia",,
Bordeaux CH,2022,2022-Bordeaux CH,ATP Challenger,Clay,Outdoor,"Bordeaux, France",,
Bratislava CH,2022,2022-Bratislava CH,ATP Challenger,Clay,Outdoor,"Bratislava, Slovak Republic",,
Braunschweig CH,2022,2022-Braunschweig CH,ATP Challenger,Clay,Outdoor,"Braunschweig, Germany",,
Buenos Aires,2022,2022-Buenos Aires,ATP 250,Clay,Outdoor,"Buenos Aires, Argentina",,
Buenos Aires CH,2022,2022-Buenos Aires CH,ATP Challenger,Clay,Outdoor,"Buenos Aires, Argentina",,
Cali CH,2022,2022-Cali CH,ATP Challenger,Clay,Outdoor,"Cali, Colombia",,
Cherbourg CH,2022,2022-Cherbourg CH,ATP Challenger,Hard,Indoor,"Cherbourg, France",,
Cleveland CH,2022,2022-Cleveland CH,ATP Challenger,Hard,Indoor,"Cleveland, Ohio, United States",,
Columbus CH,2022,2022-Columbus CH,ATP Challenger,Hard,Indoor,"Columbus, Ohio, United States",,
Concepcion CH,2022,2022-Concepcion CH,ATP Challenger,Clay,Outdoor,"Concepcion, Chile",,
Coquimbo CH,2022,2022-Coquimbo CH,ATP Challenger,Clay,Outdoor,"Coquimbo, Chile",,
Cordoba,2022,2022-Cordoba,ATP 250,Clay,Outdoor,"Cordoba, Argentina",,
Corrientes CH,2022,2022-Corrientes CH,ATP Challenger,Clay,Outdoor,"Corrientes, Argentina",,
Cuernavaca CH,2022,2022-Cuernavaca CH,ATP Challenger,Hard,Outdoor,"Cuernavaca, Mexico",,
Dallas,2022,2022-Dallas,ATP 250,Hard,Indoor,"Dallas, United States",,
Davis Cup QLS R1: ARG vs CZE,2022,2022-Davis Cup QLS R1: ARG vs CZE,Davis Cup,Clay,Outdoor,"Buenos Aires, Argentina",,
Davis Cup QLS R1: AUS vs HUN,2022,2022-Davis Cup QLS R1: AUS vs HUN,Davis Cup,Hard,Outdoor,"Sydney, Australia",,
Davis Cup QLS R1: AUT vs KOR,2022,2022-Davis Cup QLS R1: AUT vs KOR,Davis Cup,Hard,Indoor,"Seoul, South Korea",,
Davis Cup QLS R1: BEL vs FIN,2022,2022-Davis Cup QLS R1: BEL vs FIN,Davis Cup,Hard,Indoor,"Espoo, Finland",,
Davis Cup QLS R1: CAN vs NED,2022,2022-Davis Cup QLS R1: CAN vs NED,Davis Cup,Clay,Indoor,"The Hague, Netherlands",,
Davis Cup QLS R1: ESP vs ROU,2022,2022-Davis Cup QLS R1: ESP vs ROU,Davis Cup,Clay,Outdoor,"Marbella, Spain",,
Davis Cup QLS R1: FRA vs ECU,2022,2022-Davis Cup QLS R1: FRA vs ECU,Davis Cup,Hard,Indoor,"Pau, France",,
Davis Cup QLS R1: GER vs BRA,2022,2022-Davis Cup QLS R1: GER vs BRA,Davis Cup,Clay,Outdoor,"Rio de Janeiro, Brazil",,
Davis Cup QLS R1: ITA vs SVK,2022,2022-Davis Cup QLS R1: ITA vs SVK,Davis Cup,Hard,Indoor,"Bratislava, Slovak Republic",,
Davis Cup QLS R1: KAZ vs NOR,2022,2022-Davis Cup QLS R1: KAZ vs NOR,Davis Cup,Hard,Indoor,"Oslo, Norway",,
Davis Cup QLS R1: SWE vs JPN,2022,2022-Davis Cup QLS R1: SWE vs JPN,Davis Cup,Hard,Indoor,"Helsingborg, Sweden",,
Davis Cup QLS R1: USA vs COL,2022,2022-Davis Cup QLS R1: USA vs COL,Davis Cup,Hard,Indoor,"Reno, Nevada, United States",,
Davis Cup WG1 PO: CHI vs SLO,2022,2022-Davis Cup WG1 PO: CHI vs SLO,Davis Cup,Clay,Outdoor,"Vina del Mar, Chile",,
Davis Cup WG1 PO: IND vs DEN,2022,2022-Davis Cup WG1 PO: IND vs DEN,Davis Cup,Grass,Outdoor,"New Delhi, India",,
Davis Cup WG1 PO: PAK vs LTU,2022,2022-Davis Cup WG1 PO: PAK vs LTU,Davis Cup,Grass,Outdoor,"Islamabad, Pakistan",,
Davis Cup WG1 PO: UZB vs TUR,2022,2022-Davis Cup WG1 PO: UZB vs TUR,Davis Cup,Hard,Indoor,"Tashkent, Uzbekistan",,
Davis Cup WG2 PO: EGY vs CYP,2022,2022-Davis Cup WG2 PO: EGY vs CYP,Davis Cup,Clay,Outdoor,"Cairo, Egypt",,
Davis Cup WG2 PO: GRE vs JAM,2022,2022-Davis Cup WG2 PO: GRE vs JAM,Davis Cup,Clay,Indoor,"Athens, Greece",,
Davis Cup WG2 PO: HKG vs BEN,2022,2022-Davis Cup WG2 PO: HKG vs BEN,Davis Cup,Hard,Outdoor,"Cotonou, Benin",,
Delray Beach,2022,2022-Delray Beach,ATP 250,Hard,Outdoor,"Delray Beach, United States",,
Doha,2022,2022-Doha,ATP 250,Hard,Outdoor,"Doha, Qatar",,
Dubai,2022,2022-Dubai,ATP 250,Hard,Outdoor,"Dubai, United Arab Emirates",,
Eastbourne,2022,2022-Eastbourne,ATP 250,Grass,Outdoor,"Eastbourne, Great Britain",,
Estoril,2022,2022-Estoril,ATP 250,Clay,Outdoor,"Estoril, Portugal",,
Forli 1 CH,2022,2022-Forli 1 CH,ATP Challenger,Hard,Indoor,"Forli, Italy",,
Forli 2 CH,2022,2022-Forli 2 CH,ATP Challenger,Hard,Indoor,"Forli, Italy",,
Forli 3 CH,2022,2022-Forli 3 CH,ATP Challenger,Hard,Indoor,"Forli, Italy",,
Forli 4 CH,2022,2022-Forli 4 CH,ATP Challenger,Hard,Indoor,"Forli, Italy",,
Forli 5 CH,2022,2022-Forli 5 CH,ATP Challenger,Hard,Indoor,"Forli, Italy",,
Forli 6 CH,2022,2022-Forli 6 CH,ATP Challenger,Clay,Indoor,"Forli, Italy",,
Francavilla Al Mare CH,2022,2022-Francavilla Al Mare CH,ATP Challenger,Clay,Outdoor,"Francavilla al Mare, Italy",,
Geneva,2022,2022-Geneva,ATP 250,Clay,Outdoor,"Geneva, Switzerland",,
Halle,2022,2022-Halle,ATP 500,Grass,Outdoor,"Halle, Germany",,
Heilbronn CH,2022,2022-Heilbronn CH,ATP Challenger,Clay,Outdoor,"Heilbronn, Germany",,
Houston,2022,2022-Houston,ATP 250,Clay,Outdoor,"Houston, United States",,
Iasi CH,2022,2022-Iasi CH,ATP Challenger,Clay,Outdoor,"Iasi, Romania",,
Ilkley CH,2022,2022-Ilkley CH,ATP Challenger,Grass,Outdoor,"Ilkley, Great Britain",,
Indian Wells Masters,2022,2022-Indian Wells Masters,ATP 1000,Hard,Outdoor,"NA, United States",,
Las Palmas CH,2022,2022-Las Palmas CH,ATP Challenger,Clay,Outdoor,"Las Palmas, Las Palmas de Gran Canaria",,
Lille CH,2022,2022-Lille CH,ATP Challenger,Hard,Indoor,"Lille, France",,
Little Rock CH,2022,2022-Little Rock CH,ATP Challenger,Hard,Outdoor,"Little Rock, Arkansas, United States",,
Luedenscheid CH,2022,2022-Luedenscheid CH,ATP Challenger,Clay,Outdoor,"Ludenscheid, Germany",,
Lugano CH,2022,2022-Lugano CH,ATP Challenger,Hard,Indoor,"Lugano, Switzerland",,
Lyon,2022,2022-Lyon,ATP 250,Clay,Outdoor,"Lyon, France",,
Lyon CH,2022,2022-Lyon CH,ATP Challenger,Clay,Outdoor,"Lyon, France",,
M15 Akko,2022,2022-M15 Akko,ITF Tour,Hard,Outdoor,"Akko, Israel",,
M15 Alkmaar,2022,2022-M15 Alkmaar,ITF Tour,Clay,Outdoor,"Alkmaar, Netherlands",,
M15 Antalya,2022,2022-M15 Antalya,ITF Tour,Clay,Outdoor,"Antalya, Turkey",,
M15 Aprilia,2022,2022-M15 Aprilia,ITF Tour,Clay,Outdoor,"Aprilia, Italy",,
M15 Belgrade,2022,2022-M15 Belgrade,ITF Tour,Clay,Outdoor,"Belgrade, Serbia",,
M15 Bengaluru,2022,2022-M15 Bengaluru,ITF Tour,Hard,Outdoor,"Bangalore, India",,
M15 Bergamo,2022,2022-M15 Bergamo,ITF Tour,Clay,Outdoor,"Bergamo, Italy",,
M15 Bern,2022,2022-M15 Bern,ITF Tour,Clay,Outdoor,"Bern, Switzerland",,
M15 Bhopal,2022,2022-M15 Bhopal,ITF Tour,Hard,Outdoor,"Bhopal, India",,
M15 Brcko,2022,2022-M15 Brcko,ITF Tour,Clay,Outdoor,"Brcko, Bosnia and Herzegovina",,
M15 Bucharest,2022,2022-M15 Bucharest,ITF Tour,Clay,Outdoor,"Bucharest, Romania",,
M15 Budva,2022,2022-M15 Budva,ITF Tour,Clay,Outdoor,"Budva, Montenegro",,
M15 Bytom,2022,2022-M15 Bytom,ITF Tour,Clay,Outdoor,"Bytom, Poland",,
M15 Cairo,2022,2022-M15 Cairo,ITF Tour,Clay,Outdoor,"Cairo, Egypt",,
M15 Cancun,2022,2022-M15 Cancun,ITF Tour,Hard,Outdoor,"Cancun, Mexico",,
M15 Casablanca,2022,2022-M15 Casablanca,ITF Tour,Clay,Outdoor,"Casablanca, Morocco",,
M15 Chiang Rai,2022,2022-M15 Chiang Rai,ITF Tour,Hard,Outdoor,"Chiang Rai, Thailand",,
M15 Chieti,2022,2022-M15 Chieti,ITF Tour,Clay,Outdoor,"Chieti, Italy",,
M15 Cordoba,2022,2022-M15 Cordoba,ITF Tour,Clay,Outdoor,"Cordoba, Spain",,
M15 Creteil,2022,2022-M15 Creteil,ITF Tour,Hard,Indoor,"Creteil, France",,
M15 Doboj,2022,2022-M15 Doboj,ITF Tour,Clay,Outdoor,"Doboj, Bosnia and Herzegovina",,
M15 Dubrovnik,2022,2022-M15 Dubrovnik,ITF Tour,Clay,Outdoor,"Dubrovnik, Croatia",,
M15 Duffel,2022,2022-M15 Duffel,ITF Tour,Clay,Outdoor,"Duffel, Belgium",,
M15 Fountain Valley CA,2022,2022-M15 Fountain Valley CA,ITF Tour,Hard,Outdoor,"Fountain Valley, California, United States",,
M15 Frascati,2022,2022-M15 Frascati,ITF Tour,Clay,Outdoor,"Frascati, Italy",,
M15 Grenoble,2022,2022-M15 Grenoble,ITF Tour,Hard,Indoor,"Grenoble, France",,
M15 Heraklion,2022,2022-M15 Heraklion,ITF Tour,Hard,Outdoor,"Heraklion, Greece",,
M15 Kamen,2022,2022-M15 Kamen,ITF Tour,Clay,Outdoor,"Kamen, Germany",,
M15 Kazan,2022,2022-M15 Kazan,ITF Tour,Hard,Indoor,"Kazan, Russia",,
M15 Kouvola,2022,2022-M15 Kouvola,ITF Tour,Hard,Outdoor,"Kouvola, Finland",,
M15 Lakewood CA,2022,2022-M15 Lakewood CA,ITF Tour,Hard,Outdoor,"Lakewood, California, United States",,
M15 Litija,2022,2022-M15 Litija,ITF Tour,Clay,Outdoor,"Litija, Slovenia",,
M15 Los Angeles CA,2022,2022-M15 Los Angeles CA,ITF Tour,Hard,Outdoor,"Los Angeles, California, United States",,
M15 Manacor,2022,2022-M15 Manacor,ITF Tour,Hard,Outdoor,"Manacor, Spain",,
M15 Marrakech,2022,2022-M15 Marrakech,ITF Tour,Clay,Outdoor,"Marrakesh, Morocco",,
M15 Meerbusch,2022,2022-M15 Meerbusch,ITF Tour,Clay,Outdoor,"Meerbusch, Germany",,
M15 Monastir,2022,2022-M15 Monastir,ITF Tour,Hard,Outdoor,"Monastir, Tunisia",,
M15 Naples FL,2022,2022-M15 Naples FL,ITF Tour,Clay,Outdoor,"Naples, Florida, United States",,
M15 New Delhi,2022,2022-M15 New Delhi,ITF Tour,Hard,Outdoor,"New Delhi, India",,
M15 Oberhaching,2022,2022-M15 Oberhaching,ITF Tour,Hard,Indoor,"Oberhaching, Germany",,
M15 Oran,2022,2022-M15 Oran,ITF Tour,Clay,Outdoor,"Oran, Algeria",,
M15 Orange Park FL,2022,2022-M15 Orange Park FL,ITF Tour,Clay,Outdoor,"Orange Park, Florida, United States",,
M15 Palmanova,2022,2022-M15 Palmanova,ITF Tour,Clay,Outdoor,"Palma Nova, Spain",,
M15 Pittsburgh PA,2022,2022-M15 Pittsburgh PA,ITF Tour,Clay,Outdoor,"Pittsburgh, Pennsylvania, United States",,
M15 Poitiers,2022,2022-M15 Poitiers,ITF Tour,Hard,Outdoor,"Poitiers, France",,
M15 Prijedor,2022,2022-M15 Prijedor,ITF Tour,Clay,Outdoor,"Prijedor, Bosnia and Herzegovina",,
M15 Punta Cana,2022,2022-M15 Punta Cana,ITF Tour,Clay,Outdoor,"Punta Cana, Dominican Republic",,
M15 Quito,2022,2022-M15 Quito,ITF Tour,Clay,Outdoor,"Quito, Ecuador",,
M15 Raanana,2022,2022-M15 Raanana,ITF Tour,Hard,Outdoor,"Ra'anana, Israel",,
M15 Rancho Santa Fe CA,2022,2022-M15 Rancho Santa Fe CA,ITF Tour,Hard,Outdoor,"Rancho Santa Fe, California, United States",,
M15 San Diego CA,2022,2022-M15 San Diego CA,ITF Tour,Hard,Outdoor,"San Diego, California, United States",,
M15 Sarajevo,2022,2022-M15 Sarajevo,ITF Tour,Clay,Outdoor,"Sarajevo, Bosnia and Herzegovina",,
M15 Sharm ElSheikh,2022,2022-M15 Sharm ElSheikh,ITF Tour,Hard,Outdoor,"Sharm El Sheikh"", Egypt",,
M15 Shymkent,2022,2022-M15 Shymkent,ITF Tour,Clay,Outdoor,"Shymkent, Kazakhstan",,
M15 Skopje,2022,2022-M15 Skopje,ITF Tour,Clay,Outdoor,"Skopje, Macedonia",,
M15 Sofia,2022,2022-M15 Sofia,ITF Tour,Clay,Outdoor,"Sofia, Bulgaria",,
M15 South Bend IN,2022,2022-M15 South Bend IN,ITF Tour,Hard,Outdoor,"South Bend, Indiana, United States",,
M15 Sunrise FL,2022,2022-M15 Sunrise FL,ITF Tour,Clay,Outdoor,"Sunrise, Florida, United States",,
M15 Tay Ninh,2022,2022-M15 Tay Ninh,ITF Tour,Hard,Outdoor,"Tay Ninh, Vietnam",,
M15 Torello,2022,2022-M15 Torello,ITF Tour,Hard,Outdoor,"Torello, Spain",,
M15 Ulcinj,2022,2022-M15 Ulcinj,ITF Tour,Clay,Outdoor,"Ulcinj, Montenegro",,
M15 Vaasa,2022,2022-M15 Vaasa,ITF Tour,Hard,Outdoor,"Vaasa, Finland",,
M15 Valldoreix,2022,2022-M15 Valldoreix,ITF Tour,Clay,Outdoor,"Valldoreix, Spain",,
M15 Velenje,2022,2022-M15 Velenje,ITF Tour,Clay,Outdoor,"Velenje, Slovenia",,
M15 Vero Beach FL,2022,2022-M15 Vero Beach FL,ITF Tour,Clay,Outdoor,"Vero Beach, Florida, United States",,
M15 Villena,2022,2022-M15 Villena,ITF Tour,Hard,Outdoor,"Villena, Spain",,
M15 Waco TX,2022,2022-M15 Waco TX,ITF Tour,Hard,Outdoor,"Waco, Texas, United States",,
M15 Warmbad Villach,2022,2022-M15 Warmbad Villach,ITF Tour,Clay,Outdoor,"Villach, Austria",,
M15 Wroclaw,2022,2022-M15 Wroclaw,ITF Tour,Clay,Outdoor,"Wroclaw, Poland",,
M15+H Bagnoles de l'Orne,2022,2022-M15+H Bagnoles de l'Orne,ITF Tour,Clay,Indoor,"Bagnoles De L'Orne, France",,
M25 Anapoima,2022,2022-M25 Anapoima,ITF Tour,Clay,Outdoor,"Anapoima, Colombia",,
M25 Angers,2022,2022-M25 Angers,ITF Tour,Clay,Outdoor,"Angers, France",,
M25 Antalya,2022,2022-M25 Antalya,ITF Tour,Clay,Outdoor,"Antalya, Turkey",,
M25 Arlon,2022,2022-M25 Arlon,ITF Tour,Clay,Outdoor,"Arlon, Belgium",,
M25 Bakersfield CA,2022,2022-M25 Bakersfield CA,ITF Tour,Hard,Outdoor,"Bakersfield, California, United States",,
M25 Bakio,2022,2022-M25 Bakio,ITF Tour,Hard,Outdoor,"Bakio, Spain",,
M25 Bath,2022,2022-M25 Bath,ITF Tour,Hard,Indoor,"Bath, Great Britain",,
M25 Bendigo,2022,2022-M25 Bendigo,ITF Tour,Hard,Outdoor,"Bendigo, Australia",,
M25 Bourg-en-Bresse,2022,2022-M25 Bourg-en-Bresse,ITF Tour,Clay,Outdoor,"Bourg En Bresse, France",,
M25 Cairo,2022,2022-M25 Cairo,ITF Tour,Clay,Outdoor,"Cairo, Egypt",,
M25 Calabasas CA,2022,2022-M25 Calabasas CA,ITF Tour,Hard,Outdoor,"Calabasas, California, United States",,
M25 Campos do Jordao,2022,2022-M25 Campos do Jordao,ITF Tour,Hard,Outdoor,"Campos do Jordao, Brazil",,
M25 Canberra,2022,2022-M25 Canberra,ITF Tour,,Outdoor,"Canberra, Australia",,
M25 Cancun,2022,2022-M25 Cancun,ITF Tour,Hard,Outdoor,"Cancun, Mexico",,
M25 Casinalbo,2022,2022-M25 Casinalbo,ITF Tour,Clay,Outdoor,"Casinalbo, Italy",,
M25 Chiang Rai,2022,2022-M25 Chiang Rai,ITF Tour,Hard,Outdoor,"Chiang Rai, Thailand",,
M25 Dallas TX,2022,2022-M25 Dallas TX,ITF Tour,Hard,Outdoor,"Dallas, Texas, ""United States""",,
M25 Den Haag,2022,2022-M25 Den Haag,ITF Tour,Clay,Outdoor,"The Hague, Netherlands",,
M25 East Lansing MI,2022,2022-M25 East Lansing MI,ITF Tour,Hard,Outdoor,"East Lansing, Michigan, United States",,
M25 Faro,2022,2022-M25 Faro,ITF Tour,Hard,Outdoor,"Faro, Portugal",,
M25 Getxo,2022,2022-M25 Getxo,ITF Tour,Clay,Outdoor,"Getxo, Spain",,
M25 Glasgow,2022,2022-M25 Glasgow,ITF Tour,Hard,Indoor,"Glasgow, Great Britain",,
M25 Grasse,2022,2022-M25 Grasse,ITF Tour,Clay,Outdoor,"Grasse, France",,
M25 Harmon,2022,2022-M25 Harmon,ITF Tour,Hard,Outdoor,"Tamuning, Guam",,
M25 Idanha-a-Nova,2022,2022-M25 Idanha-a-Nova,ITF Tour,Hard,Outdoor,"Idanha-a-Nova, Portugal",,
M25 Jablonec nad Nisou,2022,2022-M25 Jablonec nad Nisou,ITF Tour,Clay,Outdoor,"Jablonec Nad Nisou, Czech Republic",,
M25 Kalmar,2022,2022-M25 Kalmar,ITF Tour,Clay,Outdoor,"Kalmar, Sweden",,
M25 Kiseljak,2022,2022-M25 Kiseljak,ITF Tour,Clay,Outdoor,"Kiseljak, Bosnia and Herzegovina",,
M25 Klosters,2022,2022-M25 Klosters,ITF Tour,Clay,Outdoor,"Klosters, Switzerland",,
M25 La Nucia,2022,2022-M25 La Nucia,ITF Tour,Clay,Outdoor,"La Nucia, Spain",,
M25 Loughborough,2022,2022-M25 Loughborough,ITF Tour,Hard,Indoor,"Loughborough, Great Britain",,
M25 Loule,2022,2022-M25 Loule,ITF Tour,Hard,Outdoor,"Loule, Portugal",,
M25 Manacor,2022,2022-M25 Manacor,ITF Tour,Hard,Outdoor,"Manacor, Spain",,
M25 Marburg,2022,2022-M25 Marburg,ITF Tour,Clay,Outdoor,"Marburg, Germany",,
M25 Martos,2022,2022-M25 Martos,ITF Tour,Hard,Outdoor,"Martos, Spain",,
M25 Mataro,2022,2022-M25 Mataro,ITF Tour,Clay,Outdoor,"Mataro, Spain",,
M25 Medellin,2022,2022-M25 Medellin,ITF Tour,Clay,Outdoor,"Medellin, Colombia",,
M25 Monastir,2022,2022-M25 Monastir,ITF Tour,Hard,Outdoor,"Monastir, Tunisia",,
M25 Montauban,2022,2022-M25 Montauban,ITF Tour,Clay,Outdoor,"Montauban, France",,
M25 Most,2022,2022-M25 Most,ITF Tour,Clay,Outdoor,"Most, Czech Republic",,
M25 Mungia,2022,2022-M25 Mungia,ITF Tour,Clay,Indoor,"Mungia, Spain",,
M25 Netanya (previously Kiryat Gat),2022,2022-M25 Netanya (previously Kiryat Gat),ITF Tour,Hard,Outdoor,"Netanya, Israel",,
M25 Nottingham,2022,2022-M25 Nottingham,ITF Tour,Hard,Outdoor,"Nottingham, Great Britain",,
M25 Nur-Sultan,2022,2022-M25 Nur-Sultan,ITF Tour,Hard,Indoor,"Astana, Kazakhstan",,
M25 Opatija,2022,2022-M25 Opatija,ITF Tour,Clay,Outdoor,"Opatija, Croatia",,
M25 Osijek (MOVED FROM 9 MAY),2022,2022-M25 Osijek (MOVED FROM 9 MAY),ITF Tour,Clay,Outdoor,"Osijek, Croatia",,
M25 Poprad,2022,2022-M25 Poprad,ITF Tour,Clay,Outdoor,"Poprad, Slovak Republic",,
M25 Porec,2022,2022-M25 Porec,ITF Tour,Clay,Outdoor,"Porec, Croatia",,
M25 Portimao,2022,2022-M25 Portimao,ITF Tour,Hard,Outdoor,"Portimao, Portugal",,
M25 Prague,2022,2022-M25 Prague,ITF Tour,Clay,Outdoor,"Prague, Czech Republic",,
M25 Quinta Do Lago,2022,2022-M25 Quinta Do Lago,ITF Tour,Hard,Outdoor,"Quinta Do Lago, Portugal",,
M25 Reus,2022,2022-M25 Reus,ITF Tour,Clay,Outdoor,"Reus, Spain",,
M25 Roehampton,2022,2022-M25 Roehampton,ITF Tour,Grass,Outdoor,"London, Great Britain",,
M25 Rosario Santa Fe,2022,2022-M25 Rosario Santa Fe,ITF Tour,Clay,Outdoor,"Rosario, Argentina",,
M25 Rovinj,2022,2022-M25 Rovinj,ITF Tour,Clay,Outdoor,"Rovinj, Croatia",,
M25 Santa Margherita di Pula,2022,2022-M25 Santa Margherita di Pula,ITF Tour,Clay,Outdoor,"Santa Margherita di Pula, Italy",,
M25 Santo Domingo,2022,2022-M25 Santo Domingo,ITF Tour,Hard,Outdoor,"Santo Domingo, Dominican Republic",,
M25 Sharm ElSheikh,2022,2022-M25 Sharm ElSheikh,ITF Tour,Hard,Outdoor,"Sharm El Sheikh, Egypt",,
M25 Shrewsbury,2022,2022-M25 Shrewsbury,ITF Tour,Hard,Indoor,"Shrewsbury, Great Britain",,
M25 Skopje,2022,2022-M25 Skopje,ITF Tour,Clay,Outdoor,"Skopje, Macedonia",,
M25 Split,2022,2022-M25 Split,ITF Tour,Clay,Outdoor,"Split, Croatia",,
M25 Telfs,2022,2022-M25 Telfs,ITF Tour,Clay,Outdoor,"Telfs, Austria",,
M25 Toulouse-Balma,2022,2022-M25 Toulouse-Balma,ITF Tour,Hard,Indoor,"Toulouse, France",,
M25 Trento,2022,2022-M25 Trento,ITF Tour,Hard,Indoor,"Trento, Italy",,
M25 Trimbach,2022,2022-M25 Trimbach,ITF Tour,Carpet,Indoor,"Trimbach, Switzerland",,
M25 Tulsa OK,2022,2022-M25 Tulsa OK,ITF Tour,Hard,Outdoor,"Tulsa, Oklahoma, United States",,
M25 Ulcinj,2022,2022-M25 Ulcinj,ITF Tour,Clay,Outdoor,"Ulcinj, Montenegro",,
M25 Uriage,2022,2022-M25 Uriage,ITF Tour,Clay,Outdoor,"Uriage, France",,
M25 Vale do Lobo,2022,2022-M25 Vale do Lobo,ITF Tour,Hard,Outdoor,"Vale do Lobo, Portugal",,
M25 Vic,2022,2022-M25 Vic,ITF Tour,Clay,Outdoor,"Vic, Spain",,
M25 Vilnius,2022,2022-M25 Vilnius,ITF Tour,Hard,Indoor,"Vilnius, Lithuania",,
M25 Weston FL,2022,2022-M25 Weston FL,ITF Tour,Clay,Outdoor,"Weston, Florida, United States",,
M25 Wichita KS,2022,2022-M25 Wichita KS,ITF Tour,Hard,Outdoor,"Wichita, Kansas, United States",,
M25+H Ajaccio,2022,2022-M25+H Ajaccio,ITF Tour,Hard,Outdoor,"Ajaccio, France",,
M25+H Kassel,2022,2022-M25+H Kassel,ITF Tour,Clay,Outdoor,"Kassel, Germany",,
Madrid CH,2022,2022-Madrid CH,ATP Challenger,Clay,Outdoor,"Madrid, Spain",,
Madrid Masters,2022,2022-Madrid Masters,ATP 1000,Clay,Outdoor,"NA, United States",,
Malaga CH,2022,2022-Malaga CH,ATP Challenger,Hard,Outdoor,"Malaga, Spain",,
Mallorca,2022,2022-Mallorca,ATP 250,Grass,Outdoor,"Mallorca, Spain",,
Marbella CH,2022,2022-Marbella CH,ATP Challenger,Clay,Outdoor,"Marbella, Spain",,
Marrakech,2022,2022-Marrakech,ATP 250,Clay,Outdoor,"Marrakech, Morocco",,
Marseille,2022,2022-Marseille,ATP 250,Hard,Indoor,"Marseille, France",,
Mauthausen CH,2022,2022-Mauthausen CH,ATP Challenger,Clay,Outdoor,"Mauthausen, Austria",,
Melbourne,2022,2022-Melbourne,ATP 250,Hard,Outdoor,"Melbourne, Australia",,
Mexico City CH,2022,2022-Mexico City CH,ATP Challenger,Clay,Outdoor,"Mexico City, Mexico",,
Miami Masters,2022,2022-Miami Masters,ATP 1000,Hard,Outdoor,"NA, United States",,
Milan CH,2022,2022-Milan CH,ATP Challenger,Clay,Outdoor,"Milan, Italy",,
Monte Carlo Masters,2022,2022-Monte Carlo Masters,ATP 1000,Clay,Outdoor,"NA, Monaco",,
Monterrey CH,2022,2022-Monterrey CH,ATP Challenger,Hard,Outdoor,"Monterrey, Mexico",,
Montpellier,2022,2022-Montpellier,ATP 250,Hard,Indoor,"Montpellier, France",,
Munich,2022,2022-Munich,ATP 250,Clay,Outdoor,"Munich, Germany",,
Murcia CH,2022,2022-Murcia CH,ATP Challenger,Clay,Outdoor,"Murcia, Spain",,
Newport,2022,2022-Newport,ATP 250,Grass,Outdoor,"Newport, United States",,
Nottingham CH,2022,2022-Nottingham CH,ATP Challenger,Grass,Outdoor,"Nottingham, Great Britain",,
Oeiras 1 CH,2022,2022-Oeiras 1 CH,ATP Challenger,Clay,Outdoor,"Oeiras, Portugal",,
Oeiras 2 CH,2022,2022-Oeiras 2 CH,ATP Challenger,Clay,Outdoor,"Oeiras, Portugal",,
Oeiras CH,2022,2022-Oeiras CH,ATP Challenger,Clay,Outdoor,"Oeiras, Portugal",,
Orlando CH,2022,2022-Orlando CH,ATP Challenger,Hard,Outdoor,"Orlando, Florida, United States",,
Ostrava CH,2022,2022-Ostrava CH,ATP Challenger,Clay,Outdoor,"Ostrava, Czech Republic",,
