Name,EloRating,match_number
Albert Ramos,1696,145
Joao Souza,1695,124
Evgeny Kirillov,1695,93
Arnau Brugues Davi,1695,53
Daniel Dutra Da Silva,1695,83
Jan Mertl,1694,98
Kevin Kim,1694,156
Andrea Arnaboldi,1693,135
Raemon Sluiter,1693,42
Antonio Pastorino,1692,70
Peter Gojowczyk,1692,122
Amer Delic,1691,101
Jean Rene Lisnard,1691,108
Michael Mcclune,1691,107
John Millman,1691,100
Paul Capdeville,1691,124
Gabriel Moraru,1690,127
Frederik Nielsen,1690,116
Julio Peralta,1689,27
Lars Poerschke,1689,73
Jerzy Janowicz,1689,102
Donald Young,1689,110
Simone Vagnozzi,1687,127
Reda El Amrani,1687,92
Leonardo Kirche,1687,117
Henri Kontinen,1687,60
Yuki Bhambri,1687,43
Ivan Sergeyev,1686,115
Teodor Dacian Craciun,1686,96
Gilles Muller,1684,78
Kevin Anderson,1684,144
Pablo Santos,1683,117
Marinko Matosevic,1683,129
Jesse Huta Galung,1683,114
Juan Pablo Villar,1683,131
Ivan Miranda,1683,95
Javier Genaro Martinez,1683,101
Alexander Satschko,1682,86
Adrian Ungur,1681,99
Gero Kretschmer,1680,97
Brydan Klein,1680,120
Michel Koning,1678,78
Gustavo Kuerten,1678,6
Luis Horna,1678,76
Danai Udomchoke,1677,123
Edouard Roger Vasselin,1677,125
Francesco Aldi,1677,90
Stefan Koubek,1676,83
Rik De Voest,1676,131
Rajeev Ram,1675,125
Colin Fleming,1675,56
Richard Bloomfield,1675,106
Sam Warburg,1675,78
Juan Martin Aranguren,1674,150
Carlos Berlocq,1674,74
Fernando Romboli,1674,122
Chris Guccione,1673,110
Filip Prpic,1673,93
Takao Suzuki,1673,39
Jimmy Wang,1673,8
Andrey Kuznetsov,1672,58
Peter Polansky,1672,115
Ilija Bozoljac,1671,121
Davide Sanguinetti,1671,8
Tatsuma Ito,1671,134
Pablo Galdon,1670,79
Antony Dupuis,1670,51
Andrei Pavel,1670,13
Andreas Vinciguerra,1669,26
Guillermo Hormazabal,1668,84
Grega Zemlja,1668,140
Kyu Tae Im,1668,109
Artem Sitak,1668,133
Illya Marchenko,1668,119
Dieter Kindlmann,1668,125
Pablo Andujar,1668,142
Gabriel Trujillo Soler,1668,114
Andre Begemann,1667,98
Andrea Stoppini,1667,118
Marc Sieber,1667,119
Rogerio Dutra Silva,1666,95
Juan Pablo Brzezicki,1666,116
Charles Antoine Brezac,1666,57
Andre Miele,1666,115
Kamil Capkovic,1665,132
