Name,EloRating,match_number
Yves Allegro,1515,2
Ricardo Rodriguez,1515,11
Andrei Vasilevski,1515,21
Karunuday Singh,1515,24
Gustavo Marcaccio,1515,31
Sascha Heinemann,1515,16
Laurent Vigne,1515,6
Ille Van Engelen,1515,3
Marc Marco Ripoll,1515,7
Agustin Velotti,1515,32
Takanyi Garanganga,1515,39
Jasper Smit,1515,3
Robert Varga,1514,62
Florian Nufer,1514,2
Jan Vacek,1514,18
Germain Gigounon,1514,61
Andres Schneiter,1514,2
Carl Bergman,1514,61
Nicolas Bruns,1514,2
Ryan Rowe,1514,13
Richard Ruckelshausen,1514,52
Yaoki Ishii,1513,54
Chul Hee Lee,1513,16
Werner Eschauer,1513,28
Mikhail Biryukov,1513,12
Dino Marcan,1513,19
Dawid Celt,1512,18
Alun Jones,1512,26
Eduardo Magadan Castro,1512,2
Benjamin Dracos,1512,58
Jaymon Crabb,1512,10
Angel Jose Martin,1512,4
Karlis Lejnieks,1512,53
Myles Blake,1512,32
Frederic Petitjean,1512,5
Michal Schmid,1512,18
Lars Uebel,1512,12
Luis Javier Cuellar Contreras,1512,6
Gustavo Ramirez,1512,8
Tudor Dumitrescu,1511,2
Carlos Calderon Rodriguez,1511,83
Sa Chen,1511,34
Andres Arango,1511,4
Andre Wiesler,1510,26
Shane La Porte,1510,40
Piotr Dzikiewicz,1510,2
Ryan Haviland,1510,2
Andrea Agazzi,1510,16
Ian Flanagan,1510,22
Armen Gomktsian,1510,1
Henry Estrella,1510,1
Stefano Valenti,1510,41
Trevor Dobson,1510,4
Brett Ross,1510,41
Matthew Smith,1510,6
Francis Casey Alcantara,1510,2
Arsenije Zlatanovic,1509,33
John Patrick Smith,1509,2
Mikhail Lifshits,1509,10
Gonzalo Escobar,1509,9
Treat Conrad Huey,1509,29
Victor Stanica,1509,6
Daniel Elsner,1509,3
Martijn Van Haasteren,1509,5
Mathias Feitsch,1509,9
Allen Belobrajdic,1508,2
Haydn Lewis,1508,57
Jan Kroslak,1508,5
Mario Radic,1508,3
Roberto Menendez,1508,2
Alen Bisevac,1508,2
Philipp Hammer,1508,1
Denes Lukacs,1508,22
Jan Bergmann,1508,5
Thanh Trung Hoang,1508,2
Ante Pavic,1508,44
Kj Hippensteel,1507,18
Pedro Rico,1507,1
Clint Thomson,1507,2
Juan Carlos Spir,1507,15
Marcio Petrone,1507,2
Juan Pablo Yunis,1507,48
Victor Mugurel Anagnastopol,1507,19
Max Raditschnigg,1507,81
Petri Janse Van Rensburg,1507,2
Mischa Nowicki,1507,2
Dorian Descloix,1507,33
Alexander Bury,1507,32
Mariano Hood,1507,2
Alexander Blom,1507,23
Mattia Barducci,1506,2
Jonathan Igbinovia,1506,4
Maxim Levanovich,1506,2
Hugo Anao,1506,2
Mate Pavic,1506,2
Ricardo Villacorta Alonso,1506,6
Ludwig Pellerin,1506,29
Yannick Jankovits,1506,8
Vladyslav Klymenko,1506,31
Peter Torebko,1505,59
Omar Awadhy,1505,4
Sarvar Ikramov,1505,28
Hwan Yong Choi,1505,2
Robert Khoury,1505,7
Sebastien Lami,1505,1
Hiu Tung Yu,1505,7
Jonathan Brooklyn,1505,2
Dovydas Sakinis,1505,18
Theodor Devoty,1505,2
Christopher Kas,1505,6
Gd Jones,1505,69
Danilo Ferraz,1505,68
Bradley Cox,1505,5
Alessandro Da Col,1504,31
Shaun Leisher,1504,2
Adirek Kundarnpinitvon,1504,2
Sebastian Lavie,1504,2
Eric Quigley,1504,6
Daniel Stoehr,1504,60
Mohamed Mamoun,1504,43
Mike Scheidweiler,1504,3
Damiano Di Ienno,1504,36
Gonzalo Bravo Pavez,1504,2
Josip Mesin,1504,2
Andrew Bettles,1504,3
Tony Rajaobelina,1504,2
Romain Bocaert,1504,2
Hovhannes Davtyan,1504,2
Leonardo Ramirez,1504,4
Sebo Kiss,1504,15
Julien Maigret,1504,1
Liang Chi Huang,1503,11
Jan Hradsky,1503,2
Ryan Young,1503,48
Oliver Andrzejczuk,1503,2
Davide Bramanti,1503,8
Nikolai Soloviev,1503,4
Tobias Wernet,1503,1
Guillem Closa Puncernau,1503,19
Max Krammer,1503,7
Sebastian Rivera,1503,33
Arvid Puranen,1503,3
Andrei Levine,1503,47
Filip Zeman,1503,50
Hichem Ben Bakhma,1503,2
Jannis Kahlke,1502,2
Ashot Khacharyan,1502,2
Michael Lai,1502,4
Mustafa Ghouse,1502,4
Renato Assad,1502,3
Dean Obrien,1502,2
Bruno Soares,1502,8
Maciej Dilaj,1502,8
Mauricio Antun,1502,2
Thomas Dupre,1502,1
Vladislav Bondarenko,1502,65
Marc Spicijaric,1502,2
Frederic Novas,1502,1
Rodolphe Gilbert,1502,11
Olivier Mutis,1502,1
Marc Garcia Roman,1502,2
Andre Mordhorst,1501,2
Mario Arce,1501,2
Robert Godlewski,1501,41
Andraz Bedene,1501,21
Stefano Tarallo,1501,3
Baptiste Maitre,1501,6
Josef Hrabal,1501,9
Christoph Palmanshofer,1501,40
Andrei Karatchenia,1501,65
Pablo Acevedo,1501,1
Matias Bekerman,1501,2
Lorenz Ilg,1501,5
Alexander Rumyantsev,1500,1
Yannick Hanfmann,1500,15
Erik Moberg,1500,2
Sasa Tuksar,1500,10
Jan Masik,1500,7
Fabio Tenneriello,1500,2
Luca Pippi,1500,2
Patrick Briaud,1500,1
Pavel Vizner,1500,1
Richard Irwin,1500,1
Todd Perry,1500,1
Miguel Cicenia,1500,84
Marc Andre Stratling,1500,57
Nicolas Ngodrela,1500,2
Daniel Manuel Sanchez Martinez,1500,5
Juan Manuel Elizondo,1500,62
Alex Clayton,1500,5
Adrien Puget,1500,7
Johannes Robert Van Overbeek,1500,18
Facundo Garade,1500,2
Martin Emmrich,1499,53
Federico Coria,1499,5
Alexis Musialek,1499,7
Josue Candelas,1499,2
Antoine Benneteau,1499,7
Prach Mahathavorn,1499,2
Sornsakol Supakit,1499,2
Mathieu Fortin Thibaudeau,1499,3
Simon Ede,1499,2
Pablo Cerutti,1499,3
Ezequiel Dequino,1499,2
Manuel Jorquera,1499,27
David Luque Velasco,1499,2
Hyun Joon Kim,1499,30
Juan Pablo Ramirez,1499,1
Dimitar Grabuloski,1498,27
Carl Sundberg,1498,5
Maksim Bakunin,1498,2
Ivo Mijic,1498,12
Orion Modebe,1498,1
Fabien Robert,1498,2
Mike Bryan,1498,1
Marcel Ioan Miron,1498,62
Alfonso Perez Villegas,1498,6
Pieter Calitz,1498,1
Maxime Tabatruong,1498,1
Cheong Eui Kim,1498,2
Bryan Wooten,1498,7
Rafael Garcia,1498,60
Ante Nakic Alfirevic,1498,70
Clement Reix,1498,67
Nikola Bubnic,1497,2
Emilien Firmin,1497,5
Alejo Prado,1497,10
Marcelo Amador,1497,2
Oskars Vaskis,1497,5
Guido Andreozzi,1497,33
Oriol March Ledesma,1497,1
Roy Bruggeling,1497,15
Nicolas Andres Rodriguez,1497,2
Giorgio Galimberti,1497,2
Caio Gomes,1497,2
Romano Frantzen,1497,48
Calum Gee,1497,1
Michael Look,1497,4
Malte Stropp,1497,1
Yugo Inoue,1497,1
Mamadou Diallo,1497,2
Rodrigo Carvalho,1497,3
Alexandru Tanase,1497,2
Alexander Thams,1497,2
Andy Ram,1497,1
Milan Pokrajac,1497,62
Boris Nicola Bakalov,1497,13
Juan Pablo Barriga,1497,2
George Tsivadze,1497,2
Carlos Garcia Villanueva,1497,4
Federico Gaio,1497,25
Jeff Tarango,1496,2
Bei Liu,1496,1
Paterne Mamata,1496,3
Sergey Betov,1496,73
Martin Cevasco,1496,1
Mohcine Roudami,1496,9
Levar Harper Griffith,1496,3
Miguel Angel Reyes Varela,1496,2
Carlos Arboleda Garcia,1496,2
Dominik Pfeiffer,1496,9
Juan Sebastian Vivanco,1496,44
Martin Prikryl,1496,3
Peter Miklusicak,1496,5
Alexis Klegou,1496,10
Serguei Tarasevitch,1496,6
Konstantin Kremeshkov,1496,2
Peter Lucassen,1496,86
Yu Chang,1495,18
Divij Sharan,1495,55
Cyril Saulnier,1495,2
Miliaan Niesten,1495,35
Florent Scaccianoce,1495,1
Manfred Jeske,1495,3
Clint Boling,1495,1
Bolaji Olawepo,1495,2
Stanislav Poplavskyy,1495,4
Maximiliano Estevez,1495,40
Thomas Michaud,1495,1
Abel Rincon Vazquez,1495,5
Dennis Van Scheppingen,1495,2
Jordi Munoz Abreu,1495,1
Gregor Repina,1494,2
Diego Sebastian Schwartzman,1494,19
Stefan Borg,1494,7
Slavko Bjelica,1494,3
Shahand Esmaeili,1494,2
Aaron Yovan,1494,5
Xavier Smith,1494,1
Luca Serena,1494,2
Leander Van Der Vaart,1494,4
Lucas Arnold Ker,1494,4
Stephen Amritraj,1494,2
Marko Mijacevic,1494,11
Dominic Stoeckler,1494,2
Matthieu Roy,1494,13
Masato Hatanaka,1494,42
Hyung Kwon Kim,1494,24
Mehdi Bouras,1494,3
Man Hyo Lee,1494,1
Marcelo Palacios Siegenthale,1494,87
Julien Cassaigne,1494,2
Daniil Proskura,1494,1
Francisco Olivares,1494,5
Arjan Pastoors,1494,3
Marc Powers,1493,1
Benas Majauskas,1493,1
Justin Diao Natale,1493,16
Ahmed Abdrabuh,1493,1
Tom Burn,1493,6
Daniel Berta,1493,7
Richard Muzaev,1493,4
Phillip King,1493,23
Philippe Frayssinoux,1493,41
Aleksandr Nedovyesov,1493,3
Mauro Bosio,1493,1
Maciej Lorenz,1493,2
Michael Lux,1493,1
Dean Jackson,1493,3
Tim Verlin,1493,2
Yutaro Masuo,1493,3
Vorachit Runglertmaneepong,1493,1
Diego Acosta,1493,14
Renzo Olivo,1493,14
Miles Armstrong,1493,71
Adam Kennedy,1493,1
Mait Kunnap,1493,49
Henri Laaksonen,1493,11
Alain Ntamag,1493,13
Gvidas Sabeckis,1493,57
Faisal Aidil,1493,1
Luis Felipe Contreras,1492,1
Andrey Yakovlev,1492,1
Peerakiat Siriluethaiwattana,1492,61
Jason Marshall,1492,4
Alex Miotto,1492,6
Guillermo Bujniewicz,1492,62
Daniel Santos,1492,1
Eric Butorac,1492,5
Robert Lindstedt,1492,2
Filippo Bettini,1492,1
Alastair Barnes,1492,1
Abhaya Prakash,1492,3
Marcus Sarstrand,1492,4
Sergio Rojas,1492,11
Pablo Garcia Gaitan,1492,1
Mohammed Fetov,1492,6
Aurelien David,1492,1
Clifford Marsland,1492,18
Jonathan Ribaste,1492,1
Jorge Vazquez Catoira,1492,1
Lukas Michl,1492,1
Miquel Perez Puigdomenech,1492,27
Elie Rousset,1492,1
Juan Manuel Arganaras,1492,3
Fedor Doudtchik,1492,1
Antonio Fernandez Cantisano,1492,1
Juan Fernandez,1491,3
Quino Munoz,1491,1
Joel Kielbowicz,1491,5
Colin Purcell,1491,3
Ruslan Bekoev,1491,1
Michal Nevrela,1491,1
Mario Haider Maurer,1491,1
Tomas Rohan,1491,1
Alexander Somogyi,1491,58
Ilya Lebedev,1491,5
Nicolas Meister,1491,12
Sandor Martinez Breijo,1491,1
Jeff Dadamo,1491,11
Idan Rosenberg,1491,3
Damir Dzumhur,1491,4
Alexander Krasnorutskiy,1491,12
Johan Brunstrom,1491,10
Daniel Andrus,1491,2
Diego Garavito,1491,1
Anthony Azcoaga,1491,1
Anton Galkin,1491,1
Giuseppe Menga,1491,4
Syrym Abdukhalikov,1491,55
Francisco Zambon,1491,1
David Martin,1491,11
Jose Carlos Gutierrez Pliego,1491,3
Leos Friedl,1491,2
Razvan Lupsescu,1491,1
Minh Quan Do,1491,1
Pablo Romero Otero,1490,1
Philip Lang,1490,15
Yannik Reuter,1490,14
Marco Pedrini,1490,13
Alberto Torchia,1490,2
Augusto Meirelles,1490,4
Juan Javier Estenssoro,1490,2
Aleksandar Markov,1490,2
Magin Ortiga,1490,1
Albert Loncaric,1490,23
Anton Stryhas,1490,3
Jorge Hernando Ruano,1490,1
Luciano Doria,1490,1
Naim Azhar,1490,1
Roman Tudoreanu,1490,48
Alexander Nonnekes,1490,1
Anthony Gomez,1490,1
Chemseddine Belal,1490,1
Ehsan Nourzade,1490,1
Fakhraddin Shirinov,1490,1
Filip Vittek,1490,1
Jiri Novy,1490,1
Jt Sundling,1490,1
Juan Bolona,1490,1
Leander Paes,1490,1
Maxim Dubarenco,1490,1
Minu Lee,1490,1
Ryota Doi,1490,1
Shane Templeman,1490,1
Luiz Guilherme Deneka,1490,4
Jeff Coetzee,1490,1
Razvan Andrei Cojocaru,1490,3
Julian Gast,1490,6
Petr Michnev,1490,1
Nikunj Siwach,1490,3
Khaled Al Thawadi,1490,1
Richard Becker,1490,2
Michael Samara,1490,1
Cahit Kapukiran,1490,1
Alexander Cornelissen,1490,1
John Lamble,1490,1
Dominick Mueller,1490,1
Vijayant Malik,1490,35
Luca Stoppini,1490,4
Tatsuya Sawada,1490,1
Kamil Filali,1490,3
Chris Kwon,1490,1
Greg Hill Usa,1490,1
Horia Tecau,1490,6
Dylan Sessagesimi,1490,27
Karue Sell,1490,3
Nima Madami,1490,1
Ion Moldovan,1490,1
Manuel Agustin Belda,1490,1
Christian Schultz,1489,1
Franco Agamenone,1489,3
Ashwin Vijayragavan,1489,3
Jan Plewinski,1489,1
Jean Baptiste Poux Gautier,1489,3
Alexandre Spoerri,1489,1
Yannick Thivant,1489,3
David Vukasinec,1489,1
Bruno Tiberti,1489,50
Mark Zakovsek,1489,1
Hristosko Atanasov,1489,1
Pedro Rogar,1489,1
Jonathan Tragardh,1489,1
John Otu,1489,1
Dariel Leon,1489,12
Mohamed El Nazer,1489,1
Bumpei Sato,1489,19
Harutyun Sofyan,1489,12
Georgy Kurochkin,1489,5
Max Jones,1489,15
Felipe Mantilla,1489,4
Alberto Sibona,1489,1
Alexandr Zotov,1489,1
Slobodan Jevtic,1489,1
Giordano Boza,1489,1
Aaron May,1489,1
Mauricio Perez Mota,1489,1
Stephen Huss,1489,1
Gabriel Marcolino,1489,1
Jurica Grubisic,1489,1
Julian Dehn,1489,1
Masato Shiga,1489,1
Thiago Augusto Bitencourt Pinheiro,1489,1
Jorge Alejandro Suarez Zuleta,1489,1
Jose Luis Desena,1489,3
Karl Erik Paaro,1489,1
Angel Ruiz Cotorro,1489,1
Joey B Burkhardt,1489,1
Colt Gaston,1489,1
Reid Carleton,1489,2
Gal Hakak,1489,1
Oscar Posada,1489,1
Torgom Asatryan,1489,1
Ruben Gonzales,1489,19
Christian Matic,1489,1
Timon Reichelt,1489,1
Jiri Kosler,1488,54
Ener Gursoy,1488,1
Inaki Alcalde Perez Ilzarb,1488,1
Lauri Kiiski,1488,2
Ken Onoda,1488,2
Pablo Gonzalez,1488,1
Patrick Prader,1488,33
Tobias Obenaus,1488,1
Francisco Aparicio,1488,1
Gilles Kremer,1488,1
Rogan Egerton,1488,1
Shalva Dzhanashia,1488,1
Luka Starc,1488,1
Alexis Heugas,1488,1
Alberto Cammarata,1488,1
Ricardo Schlachter,1488,1
Ali Ibshara,1488,1
Joo Hyo Park,1488,5
Mariusz Fyrstenberg,1488,3
Marius Adrian Cirstea,1488,10
Markus Egger,1488,1
Fabricio Custode,1488,1
Vedran Ljubicic,1488,1
Calin Paar,1488,1
Renato Terra,1488,3
Andres Dellatorre,1488,1
Sergio Olivares,1488,1
Ben Qiang Zhu,1488,6
Nikola Martinovic,1488,4
Alessandro Sarra,1488,1
Gregg Hill,1488,1
Nat Maraga,1487,4
Bob Van Duijn,1487,1
Ola Rorvik Bakke,1487,1
Bruno Luciano Mazziotti,1487,3
Tomasz Bednarek,1487,3
Joss Espasandin,1487,11
Igor Zelenay,1487,3
Nicolas Kicker,1487,1
Constant Lestienne,1487,1
Martin Sinner,1487,3
Rares Georgescu,1487,1
Ruslan Miroshnichenko,1487,1
Joel Lindner,1487,38
John Houston Barrick,1487,1
Stefan Lindmark,1487,1
Farshad Talavar,1487,1
Alejandro Correa,1487,1
G Jones,1487,6
Khevan Somasundram,1487,1
Nick Coutts,1487,1
Rasmus Jonasson,1487,1
Ramiro Arias Moreno,1487,1
Rodolfo Jauregui Sainz De Rozas,1487,1
Leury Arias,1487,1
Willy Lebendje,1487,1
Shinnosuke Otsuka,1487,1
Alan Bevan,1487,1
Mohammed Faizal Bin Othman,1487,1
Boris Conkic,1487,3
Frederic Lageat,1487,1
Facundo Gomez,1487,1
Jack Schipanski,1487,1
Ryan Mcbride,1487,1
Marc Abdulnour,1487,11
Oleksiy Odazhyu,1487,1
Jerome Becker,1487,4
Milos Koprivica,1487,1
Nikolaos Kokkotas,1487,1
Nihal Kapoor,1487,1
Hendrik Bode,1487,2
Andrei Daescu,1487,2
Brad Weston,1487,1
Alexandre Schnitman,1487,3
Quoc Khanh Le,1487,1
Shu Saito,1487,5
Adolfo Miguel Pontigo Tovar,1487,1
Pawel Kur,1487,1
Roberto Dadamo,1487,1
Cristian Bohorquez,1487,1
Marcin Maszczyk,1486,1
Felipe Rios,1486,1
Saad Benkirane,1486,3
Musashi Hoshino,1486,1
Komlavi Loglo,1486,42
Armel Collinot,1486,1
Gabriel Ruiz Auad,1486,1
Jong Guk Ho,1486,1
Josh Nelson,1486,3
Dariusz Kuligowski,1486,1
Marcelo Michelucci,1486,1
Marcos Esparcia Omedas,1486,1
Ivan Petrov,1486,1
Adrian Guzman,1486,1
Alexander Tabares,1486,2
Oleg Dmitriev,1486,1
Marlon Van Ingen,1486,1
Charles Weber,1486,1
Kiril Dimitrov,1486,1
Eric Roberson,1486,1
Mauricio Doria Medina,1486,87
Salvador Rodriguez Mayoralas,1486,1
Radu Traian Ionescu,1486,1
Matthew Hicks,1486,2
Fernando Javier Gianini,1486,1
Jarmaine Jenkins,1486,4
Anas Fattar,1486,84
Laerte Di Falco,1486,1
Tomas Caprotta,1486,1
Vishal Punna,1486,6
William Ward,1486,15
Alessandro Lorenzon,1486,1
Constantin Alexandru Stohor,1486,1
German Gaich,1486,64
Dejan Djokic,1486,1
Vlad Alex Marinescu,1486,1
Nicholas John Andrews,1486,3
Gerhard Fahlke,1486,1
Saso Bende,1486,1
Aleksandar Mihailovski,1486,1
Borut Puc,1486,39
Moritz Baumann,1486,6
Moussa Shanan,1486,1
Andrzej Mach,1486,5
Alejandro Gomez Gb42,1486,4
Kevin Konfederak,1486,52
Kanagaraj Balakrishnan,1486,1
Piotr Banas,1486,1
George Von Massow,1486,4
Neil Pauffley,1486,39
Manuel Rezzaghi,1486,1
Mahesh Bhupathi,1486,1
Victor Acurcio Machado,1486,1
Chang Hyun Kang,1486,1
Markus Ingold,1486,1
Tommaso Lago,1486,1
Deivids Juksa,1486,1
Abraham Gonzalez Jimenez,1486,75
Keith Patrick Crowley,1486,1
Ahmed Borai,1485,1
Nicolas Guillaume,1485,1
Ilias Giannakakis,1485,1
Rafael Paez,1485,1
Carlos Gonzalez Leiva,1485,5
Christoph Hodl,1485,5
Daniel Whitehead,1485,1
Lukas Vojtechovsky,1485,3
Jason Jung,1485,1
Cherif Zaher,1485,1
Giovanni Bottai,1485,1
Naveen Sai,1485,1
Aleksandre Kondulukov,1485,1
Adam Thompson,1485,46
Francesco Borgo,1485,1
Mackenzie Mcdonald,1485,1
Marcos Conde Jackson,1485,1
Jason Tahir,1485,1
Christophe Squarta,1485,1
Matteo Colla,1485,2
Rafael Coutinho,1485,5
Elliot Keyser,1485,1
Alan Muzati,1485,1
Jose Luis Hernandez Davo,1485,1
Fotis Triantis,1485,1
Daniel Krajnovic,1485,1
Armin Hirner,1485,1
Tobias Hinzmann,1485,9
James Meredith,1485,1
Daniiar Duldaev,1485,1
Antti Tuomi,1485,1
Diego Soto Gonzalez,1485,1
Aleksander Klenar,1485,1
Christopher Diaz Figueroa,1485,50
Davey Sandgren,1485,1
Amer Mezri,1485,1
Thomas Flury,1485,1
Rafael Saraiva,1485,1
Clemens Breuss,1485,1
Zalan Klempa,1485,6
Christoph Muller,1485,1
Christoph Steiner,1485,1
Nemanja Kontic,1485,3
Flavio Malagutti,1485,1
Leonel Videla,1485,2
Henrik Soderberg,1485,1
Andrey Veykut,1485,1
Joe Bates,1485,2
Michal Sekula,1485,1
Jean Ayissi Etele,1485,1
Matej Zlatkovic,1485,1
Andrea Roscioli,1485,1
Angel Mirchev,1485,1
Yusuke Watanuki,1485,12
Alex Satschko,1485,10
Jordi Vives,1485,1
David Pel,1485,1
Hannay Carbonell,1485,1
Rodrigo Orozco,1485,1
Bruno Schick,1485,7
Mike Urbanija,1485,1
Arthur Beavis,1485,1
Gilles Lagardere,1484,1
Robert Gustafsson,1484,5
Daniel Monedero,1484,2
Fabricio Neis,1484,32
Mamadou Akilissou Diallo,1484,1
Mattis Wetzel,1484,1
Jung Hyo Lee,1484,1
Benedikt Muller,1484,1
Dmitry Vlasov,1484,3
Christoph Drechsler,1484,1
Alexander Ward,1484,64
Brandon Anandan,1484,1
Clint Bowles,1484,7
Mehdi Birouk,1484,1
Fernando Mussolini,1484,1
Victor Bruthans,1484,3
Robert Verzaal,1484,1
Claudio Scatizzi,1484,1
Daniil Sirota,1484,1
Maximiliano Gurmandi,1484,1
Filip Tomanic,1484,1
Sergio Ramirez,1484,1
Vicente Elberto Anasta,1484,1
Mo Niaki,1484,3
Mircea Alexandru Jecan,1484,1
Michael Grant,1484,1
Hashim Abdal,1484,1
Alexander Pfann,1484,2
Taavo Roos,1484,3
Axel Alvarez Llamas,1484,1
Borja Rodriguez Manzano,1484,1
James Allemby,1484,1
David De Goede,1484,1
Pierre Clad,1484,1
Dmitriy Minkin,1484,1
Bruno Bertolucci,1484,1
Mats Moraing,1484,1
Peter Heller,1484,1
Dawie Eybers,1484,1
Diogo Rocha,1484,1
Charly Villeneuve,1484,1
Leandro Toledo,1484,1
Ariez Elyaas Deen Heshaam,1484,1
Rong Ma,1484,1
Nutthavit Likitkumchorn,1484,1
Maros Horny,1484,2
Nicolas Serio,1484,1
Diego Galeano,1484,5
Pedro Davisson,1484,1
Kacper Mularczyk,1484,4
Yan Sabanin,1484,1
Damion Johnson,1484,1
Anthony Marshall,1484,1
Davide Zucchini,1484,1
Marcelo Herrera,1484,1
Maxim Filippov,1484,1
Ilie Babinciuc,1484,1
Olivier Lemaitre,1484,1
Mandeep Yadav,1484,1
Joseph Correa,1484,1
Abdulla Hajji,1484,2
Alex Domenech Menacho,1484,1
Ricardo Siggia,1484,79
Kentaro Kamata,1484,1
Josip Brkic,1483,1
Slavi Delchev,1483,1
Johan Barras,1483,1
Thomas Kromann,1483,36
Vidhan Vyas,1483,1
Ariovaldo Custodio,1483,1
Daniel Steinbrenner,1483,1
Carlos Antonio Tavarez Rodriguez,1483,1
Tomas Jecminek,1483,1
Tucker Vorster,1483,1
Sebastian Fanselow,1483,1
Egor Gerasimov,1483,1
Ronald Tijvelijn,1483,1
M Abid Ali Khan Akbar,1483,1
Fabricio Burdisso,1483,1
Mihai Parvan,1483,10
Seyed Akbar Taheri Rahaghi,1483,1
Juan Antonio Los Santos,1483,2
Andrea Taliani,1483,1
Vasco Pascoal,1483,4
Laurent Olivier Daxhelet,1483,1
Nathan Byrnes,1483,3
Ivan Seliverov,1483,1
Juan Paul Bastiaans Minguillon,1483,1
Baligh Ellouze,1483,1
Ahmed El Menshawy,1483,1
Kouhei Maeda,1483,1
Adam Staub,1483,1
Jesper Cederlind,1483,1
Ura Mukovoz,1483,1
Ruben Medina Camargo,1483,1
Cheng Peng Hsieh,1483,1
Cristobal Aguirre,1483,1
Andreas Weber,1483,3
Vadim Pinko,1483,2
Guilheme Canineo R,1483,1
Dmitri Sitak,1483,63
Adrian Sikora,1483,71
Juan Pablo De Paiz Ferrer,1483,1
Christian Hansen,1483,1
Daniel Kosakowski,1483,1
Robin Brage,1483,1
Rodrigo Alvarez,1483,1
Martin Rmus,1483,31
Roman Martin,1483,5
Hector Silva,1483,4
Rhett Rollyson,1483,1
Tiago Godinho,1483,1
Christopher Schuhmann,1483,4
Rodolphe Cadart,1483,1
Adam Cizek,1483,1
Zachary Ganger,1483,1
Till Heilshorn,1483,2
Diego Lasry,1483,3
Eduardo Matesanz Aragones,1483,1
Roger Ordeig,1483,1
Lawrence Harradine,1483,1
German Sciacca,1483,1
Marco Aurelio Nunez,1483,1
Andrey Daniluk,1483,1
Austin Klores,1483,1
Nathaniel Gery,1483,1
Mohamed Nazim Khan,1483,1
David Ohare,1483,1
Cedric Babu,1483,1
Alvaro Loyola,1483,1
Giulio Mazzoli,1483,1
Bijan Hejazi,1483,1
Robert Hodel,1483,4
Jordan Mcculloch,1483,1
Lorenzo Carera,1483,1
Canyo Dagum,1483,1
Andrea Dallasta,1483,1
Ozren Damjanovski,1483,1
Vlad Cristian Smighelschi,1483,1
Rogelio Irigoyen,1483,1
Ivan Turudic,1482,2
Garret Brasseaux,1482,1
Patrick Grigoriu,1482,1
Fernando Albuquerque,1482,2
Bhishma Desai,1482,1
Xavi Torres,1482,1
Robson Nunes,1482,1
Tianchao Mei,1482,1
Kokou Bernard Alipoe Tchotchodji,1482,1
Juan Sebastian Langton,1482,4
Stanislav Shvetsov,1482,1
Gerry De Campos,1482,1
Yang Li,1482,1
Dimitar Petrov,1482,1
Thomas Gilner,1482,1
Yu Cheng Li,1482,1
Alessandro Tabacchini,1482,1
Jacob Kahoun,1482,1
Ignacio Hernandez,1482,1
Alessio Abbondanzieri,1482,1
Claudio Acevedo,1482,1
Daniel Melo,1482,1
Hermand De Bruin,1482,1
Alexander Seeger,1482,1
Carlos Yanez,1482,1
Cameron Spearman,1482,1
Hyun Seung Kim,1482,13
Emiliano Waisman,1482,1
Nicolas Ebran,1482,1
Helson Barros,1482,1
Federico Iraola,1482,1
Gabriel Pitta,1482,1
Tom Krug,1482,1
Javier Waase,1482,1
Gustavo Lima Ribeiro Gutta,1482,1
Justin Eleveld,1482,11
Federico Clara Figueroa,1482,7
Carlos Gomez Herrera,1482,16
Juan Pablo Ortiz,1482,42
Vlad Cirla,1482,7
Gustavo Junqueira De Andrade,1482,65
Luca Margaroli,1482,1
Issa Karorero,1482,2
Stefan Szacinski,1482,1
Mark Kovacs,1482,3
Alexander Pumpyanskiy,1482,1
David Agung Susanto,1482,1
Jamie Murray,1482,2
Sid Ali Akkal,1482,1
Luca Leonardi,1482,1
Alessandro Tombolini,1482,1
Perica Josic,1482,1
Giuseppe Guarnieri,1482,1
Alexander Reichel,1482,4
Demetrios Leontis,1482,1
Sebastian Prieto,1482,3
Harry Cicma,1482,1
Jaber Nouh,1482,1
Borja Martinez Lejarza,1482,1
Marco Gualdi,1482,1
Thomas Butz,1482,1
Marius Meiszies,1482,1
Jean Francois Berard,1482,2
Vasco Mensurado,1481,1
Mihail Gochev,1481,1
Armando Javier Boschetti,1481,1
Robert Belak,1481,33
Jarryd Bant,1481,1
James Bo Seal,1481,1
Kirill Kokhanov,1481,1
Mitchell Krueger,1481,1
Borislav Borovic,1481,1
Jonathan Hilaire,1481,3
Andrea Giallanza,1481,1
Bojan Szumanski,1481,31
Tomasz Kryzszkowski,1481,5
Joe Cooper,1481,1
Blaz Rola,1481,29
Vladislav Mateev,1481,1
Kairat Kosherov,1481,1
Liam Broady,1481,5
Emanuel Brighiu,1481,2
Javier Andres Liu Rivas,1481,1
Sam Gould,1481,1
Paolo Cane,1481,1
Omar Aboushalam,1481,1
Palanupap Puranawit,1481,1
Miroslav Stengl,1481,1
Enrique Naranjo,1481,1
Alexandru Florin Giurca,1481,1
Sergio Martinez,1481,1
Andrey Pozhidaev,1481,1
Pablo Nunez,1481,1
Joel Akerberg,1481,1
Lucas Marin,1481,1
Rami Osman,1481,1
Serge Carpentier,1481,1
Bart Brons,1481,12
Benjamin Lankenau,1481,1
Alfonso Gallo,1481,1
Zhanbolat Zhakupov,1481,1
Thomas Szewczyk,1481,1
Michal Wlodarczyk,1481,3
Dai Chiao Lin,1481,1
Miguel Alves,1481,1
Simon Aspelin,1481,1
