Name,elo_overall,match_number,elo_hard,match_number_hard,elo_clay,match_number_clay,elo_grass,match_number_grass,previous_match
Tallon Griekspoor,1920.127892918321,471,1928.1478826493658,219,2005.3355212478652,234,1735.5544951647755,18,2022-Amersfoort CH-Tallon Griekspoor-Roberto Carballes Baena
Radek Stepanek,1920.0640481423886,463,2002.5163473479683,205,1996.6183934483206,94,1927.6647691339624,35,2017-Australian Open-David Goffin-Radek Stepanek
Frances Tiafoe,1916.8836650439164,470,2014.8614164190476,300,1978.3341895691574,131,1910.1039096022341,39,2022-Wimbledon-David Goffin-Frances Tiafoe
Tommy Paul,1914.8417324871205,484,2013.4541283779924,310,1929.8270032960563,149,1849.149597791073,25,2022-Wimbledon-Cameron Norrie-Tommy Paul
Jack Draper,1911.5138381890924,214,1944.6802894207833,156,1808.146858000396,31,1779.0345883805353,27,2022-Wimbledon-Alex De Minaur-Jack Draper
John Isner,1911.2076559276636,796,2005.4314444869372,467,2057.2805965394637,140,1885.515261261464,74,2022-Newport-Maxime Cressy-John Isner
Alex Molcan,1910.2790937439377,371,1904.5553090835037,138,2020.9121604165657,217,1725.2923183258545,16,2022-Wimbledon-Taylor Harry Fritz-Alex Molcan
Jaume Munar,1910.0257915713273,551,1929.0554527602596,139,2005.444988773939,399,1537.867062324845,13,2022-Bastad-Pedro Sousa-Jaume Munar
Alexandr Dolgopolov,1908.6909326140424,536,2040.0928345270522,263,2007.6945139855707,147,1867.025434303119,43,2018-Rome Masters-Novak Djokovic-Alexandr Dolgopolov
Kyle Edmund,1908.3679365604717,531,2011.620465236592,303,1994.2630966869992,183,1820.1524610103918,45,2020-Vienna-Jason Jung-Kyle Edmund
Reilly Opelka,1907.6758549015685,339,2059.5154146461937,233,1970.1218713210935,82,1637.0385863806746,24,2022-Wimbledon-Tim Van Rijthoven-Reilly Opelka
Andy Murray,1907.363480144988,818,2007.2122432646006,439,2232.412974334676,119,1960.3708618938663,107,2022-Newport-Alexander Bublik-Andy Murray
Denis Shapovalov,1907.1487778215621,422,2035.1883553270088,294,2021.9648788822092,88,1787.130110450254,40,2022-Wimbledon-Brandon Nakashima-Denis Shapovalov
David Goffin,1907.1172230264424,853,1954.4405827761639,453,2060.8161973183987,248,1967.4383728890882,59,2022-Wimbledon-Cameron Norrie-David Goffin
Maxime Cressy,1904.1287715733563,259,1942.4771875695785,202,1797.9922196613543,33,1921.6711259086283,24,2022-Newport-Maxime Cressy-Alexander Bublik
Julien Benneteau,1903.6693491882572,513,1952.87846540067,265,1883.2134243246085,77,1893.4746516931114,52,2018-Brest CH-Stefano Travaglia-Julien Benneteau
Oscar Otte,1902.1001361066192,593,1935.8501367720082,208,1930.4307293476459,303,1809.1590138625804,82,2022-Wimbledon-Carlos Alcaraz-Oscar Otte
Jenson Brooksby,1901.4312631147639,181,2057.77561722453,145,1783.433562011916,24,1727.3438729529703,12,2022-Wimbledon-Christian Garin-Jenson Brooksby
Francisco Cerundolo,1900.8629536628277,286,1875.376571565499,30,1987.9331563283756,249,1607.266314268269,7,2022-Bastad-Francisco Cerundolo-Sebastian Baez
Alexander Bublik,1900.0919807060616,472,1978.0945404568208,332,1881.8025952060038,89,1918.8934910320095,51,2022-Newport-Maxime Cressy-Alexander Bublik
Dominic Thiem,1899.2509637390608,709,2149.201467779364,329,2027.5063171754282,347,1885.064137902407,33,2022-Bastad-Sebastian Baez-Dominic Thiem
Benjamin Bonzi,1898.8799710763385,547,1963.7699833567626,327,1872.1347248085476,191,1800.7774868833949,29,2022-Newport-John Isner-Benjamin Bonzi
Alejandro Davidovich Fokina,1896.4972087507892,375,1934.452123079328,180,2034.0592449608498,165,1777.6544333962477,30,2022-Bastad-Sebastian Baez-Alejandro Davidovich Fokina
Daniel Evans,1895.1870088584358,769,2023.0091040429465,482,1893.8933533448442,66,1893.6809733113907,123,2022-Wimbledon-Jason Kubler-Daniel Evans
Christopher Oconnell,1890.6047828673509,461,1965.0075086067848,214,1921.6672372117534,221,1758.2966567812468,26,2022-Porto CH-Altug Celikbilek-Christopher Oconnell
Aslan Karatsev,1890.387078288928,605,1992.5467621049925,333,1957.9344357600155,244,1495.328819685546,27,2022-Bastad-Francisco Cerundolo-Aslan Karatsev
Lorenzo Sonego,1890.1825147615077,467,1912.1391485503034,180,2016.4814808960384,254,1858.5995772611427,33,2022-Bastad-Aslan Karatsev-Lorenzo Sonego
Jack Sock,1883.369186501709,547,1929.725959258934,367,1949.0115534508448,121,1868.800569008633,47,2022-Newport-Alexander Bublik-Jack Sock
Emil Ruusuvuori,1883.1033653459606,338,2009.7271351285121,248,1855.5499052677903,68,1737.8059273768067,22,2022-Bastad-Dominic Thiem-Emil Ruusuvuori
Ilya Ivashka,1881.926778933929,495,2000.208942590363,376,1958.378897126865,71,1811.8285737357917,48,2022-Mallorca-Stefanos Tsitsipas-Ilya Ivashka
Marton Fucsovics,1881.471042424642,687,1987.4502166811765,384,1970.675192599662,231,1812.8443685509428,67,2022-Wimbledon-Alexander Bublik-Marton Fucsovics
Gilles Muller,1877.3507075676512,569,1926.185168237678,345,1884.43000594994,45,1942.3531305969568,101,2018-US Open-Lorenzo Sonego-Gilles Muller
Corentin Moutet,1876.1031406027773,414,1995.1925782475837,190,1943.0398709851988,211,1673.3164911947024,13,2022-Salzburg CH-Norbert Gombos-Corentin Moutet
Jason Kubler,1875.792092041265,529,1863.6959862414308,180,1803.2870674782598,312,1857.3283432748374,33,2022-Newport-Alexander Bublik-Jason Kubler
Christian Garin,1875.145693854871,582,1840.1731226804325,151,2009.7817168894917,407,1806.327075363507,24,2022-Wimbledon-Nick Kyrgios-Christian Garin
Tomas Machac,1874.7438815706391,223,1929.2313820159522,123,1915.4119086904166,79,1648.0281229666582,21,2022-Prague CH-Dalibor Svrcina-Tomas Machac
Marcos Baghdatis,1874.674920397155,571,1920.2296007960817,353,1845.1528355887106,58,1824.3547311748619,71,2019-Wimbledon-Matteo Berrettini-Marcos Baghdatis
Mackenzie Mcdonald,1872.2082401967582,440,1996.6884592531208,348,1915.3188104777882,53,1738.9606847793,38,2022-Wimbledon-Richard Gasquet-Mackenzie Mcdonald
Richard Gasquet,1871.9299640190306,768,1984.9801444298278,414,1958.8872386626922,189,1852.5693253909644,71,2022-Wimbledon-Botic Van De Zandschulp-Richard Gasquet
Tim Van Rijthoven,1871.8044612229112,363,1866.1760121597895,243,1743.1798749556517,103,1858.9596690777266,17,2022-Newport-Mitchell Krueger-Tim Van Rijthoven
Filip Krajinovic,1871.7450893686291,657,1955.771507137312,255,2025.7991459717678,305,1656.618393468975,30,2022-Wimbledon-Nick Kyrgios-Filip Krajinovic
Borna Coric,1871.0277122978803,499,2049.060712642708,325,1984.2182697779135,145,1796.4763405333795,29,2022-Iasi CH-Nicholas David Ionel-Borna Coric
Fabio Fognini,1869.326420734121,817,1971.0708178238635,304,1998.024404195181,355,1796.0559501201722,39,2022-Bastad-Sebastian Baez-Fabio Fognini
Thanasi Kokkinakis,1865.6157857348478,351,2006.63837236472,250,1932.1122698218753,76,1646.0636381926565,25,2022-Wimbledon-Novak Djokovic-Thanasi Kokkinakis
Joachim Johansson,1864.4440625760346,27,1937.395498702098,10,1836.0,0,1792.461605396141,2,2013-Stockholm-Milos Raonic-Joachim Johansson
Ivan Ljubicic,1863.0739308497593,208,1884.2584615505236,69,1978.0255929182847,23,1951.5739784832635,7,2012-Monte Carlo Masters-Ivan Dodig-Ivan Ljubicic
Mikhail Youzhny,1862.0003870140072,609,1915.568203232781,293,1820.6893746040898,127,1847.6173502146723,61,2018-St. Petersburg-Roberto Bautista Agut-Mikhail Youzhny
